id,title,description,skills
syn_21,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_22,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_23,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_24,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_25,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_26,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_27,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_28,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_29,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_30,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_31,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_32,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_33,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_34,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_35,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_36,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_37,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_38,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_39,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_40,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_41,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_42,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_43,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_44,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_45,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_46,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_47,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_48,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_49,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_50,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_51,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_52,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_53,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_54,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_55,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_56,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_57,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_58,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_59,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_60,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_61,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_62,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_63,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_64,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_65,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_66,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_67,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_68,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_69,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_70,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_71,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_72,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_73,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_74,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_75,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_76,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_77,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_78,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_79,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_80,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_81,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_82,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_83,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_84,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_85,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_86,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_87,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_88,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_89,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_90,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_91,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_92,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_93,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_94,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_95,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_96,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_97,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_98,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_99,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_100,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_101,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_102,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_103,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_104,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_105,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_106,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_107,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_108,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_109,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_110,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_111,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_112,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_113,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_114,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_115,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_116,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_117,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_118,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_119,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_120,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_121,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_122,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_123,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_124,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_125,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_126,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_127,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_128,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_129,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_130,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_131,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_132,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_133,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_134,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_135,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_136,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_137,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_138,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_139,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_140,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_141,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_142,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_143,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_144,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_145,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_146,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_147,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_148,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_149,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_150,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_151,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_152,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_153,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_154,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_155,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_156,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_157,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_158,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_159,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_160,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_161,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_162,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_163,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_164,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_165,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_166,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_167,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_168,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_169,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_170,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_171,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_172,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_173,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_174,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_175,Prompt Engineer,"Engineer and optimize AI/LLM prompts, improve model performance.","['prompt engineering', 'llm', 'nlp', 'python', 'ai evaluation']"
syn_176,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_177,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_178,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_179,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_180,Cloud Architect,"Design and manage scalable cloud infrastructure on AWS, Azure, or GCP.","['aws', 'azure', 'gcp', 'docker', 'kubernetes']"
syn_181,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_182,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_183,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
syn_184,Machine Learning Engineer,"Build scalable ML models using Python and machine learning. Handle data with SQL, deploy on AWS, develop frontends with React.","['python', 'sql', 'machine learning', 'aws', 'react']"
syn_185,Data Scientist,"Analyze data, develop predictive models, and create visualization dashboards.","['python', 'sql', 'statistics', 'pandas', 'data visualization']"
